experiment_id,year,price ,is_natural,wine_alcohol,region_country
0,2015,,f,14.0,it
1,2015,,f,12.5,fr
2,2018,,f,13.5,it
3,2020,,f,15.0,au
4,2017,,f,16.0,ar
5,2019,,f,14.0,it
6,2019,,f,14.0,it
7,2019,,f,14.65,es
8,2015,,f,14.0,it
9,2018,,f,14.0,it
10,2018,,f,15.0,it
11,2016,,f,14.0,au
12,2019,,f,15.5,it
13,2019,,f,13.5,fr
14,2016,,f,13.5,fr
15,2014,,f,14.0,fr
16,2016,,f,14.0,it
17,2018,,f,,it
18,2015,,f,14.5,es
19,2019,,f,13.5,it
20,2020,,f,,fr
21,2017,,f,14.7,es
22,2020,,f,12.0,fr
23,2019,,f,13.5,us
24,2018,,f,12.5,fr
25,2018,,f,12.5,fr
26,2017,,f,13.5,fr
27,2017,,f,13.5,fr
28,2016,,f,,es
29,2022,,f,,es
30,2013,,f,,it
31,2019,,f,13.5,es
32,2019,,f,14.5,es
33,2015,,f,14.0,it
34,2018,,f,13.5,it
35,2018,,f,,it
36,2018,,f,14.5,ar
37,2018,,f,,it
38,2016,,f,,it
39,2020,,f,13.5,fr
40,2018,,f,,es
41,2019,,f,13.0,fr
42,2012,,f,13.0,pt
43,2019,,f,15.0,it
44,2017,,f,,us
45,2015,,f,14.0,it
46,2021,,f,13.5,fr
47,2020,,f,14.0,it
48,2015,,f,13.5,fr
49,2018,,f,,es
50,2018,,f,13.5,fr
51,2016,,f,,fr
52,2018,,f,15.0,es
53,2014,,f,13.0,it
54,2020,,f,14.5,ar
55,2018,,f,,pt
56,2020,,f,14.0,es
57,2012,,f,14.5,es
58,2018,,f,13.5,es
59,2020,,f,,it
60,2018,,f,15.0,au
61,2020,,f,14.0,it
62,2015,,f,14.0,it
63,2015,,f,14.0,it
64,2015,,f,13.2,fr
65,2018,,f,14.0,es
66,2017,,f,13.0,fr
67,Ribena,,f,,it
68,2017,,f,14.5,it
69,2018,,f,14.5,it
70,2018,,f,14.0,it
71,2017,,f,,au
72,2016,,f,14.0,it
73,2018,,f,,it
74,2019,,f,14.0,it
75,2016,,f,,pt
76,2017,,f,15.0,it
77,2018,,f,,es
78,2019,,f,13.0,it
79,2016,,f,14.0,it
80,2016,,f,,au
81,2017,,f,,es
82,2018,,f,,fr
83,2016,,f,,it
84,2019,,f,13.5,es
85,2019,,f,,it
86,2020,,f,,it
87,2020,,f,15.0,it
88,2018,,f,,it
89,2015,,f,,it
90,2020,,f,,es
91,2017,,f,,fr
92,2016,,f,14.5,es
93,2019,,f,,es
94,2019,,f,,es
95,2018,,f,13.5,it
96,2017,,f,15.0,it
97,2019,,f,14.5,us
98,2020,,f,,it
99,2016,,f,13.3,fr
100,2018,,f,,it
101,2018,,f,14.5,es
102,2010,,f,,fr
103,2019,,f,15.0,it
104,2019,,f,,it
105,2018,,f,12.5,it
106,2010,,f,15.0,pt
107,2018,,f,18.0,it
108,2020,,f,,es
109,2019,,f,,za
110,2020,,f,,it
111,2020,,f,14.5,us
112,2020,,f,,it
113,2018,,f,,it
114,2015,,,,
